	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
374	NaN	2021	4	17	13	0	SPO_NO0143A_5_3173
375	NaN	2021	4	17	14	0	SPO_NO0143A_5_3173
376	NaN	2021	4	17	15	0	SPO_NO0143A_5_3173
377	NaN	2021	4	17	16	0	SPO_NO0143A_5_3173
378	NaN	2021	4	17	17	0	SPO_NO0143A_5_3173
379	NaN	2021	4	17	18	0	SPO_NO0143A_5_3173
380	NaN	2021	4	17	19	0	SPO_NO0143A_5_3173
381	NaN	2021	4	17	20	0	SPO_NO0143A_5_3173
382	NaN	2021	4	17	21	0	SPO_NO0143A_5_3173
383	NaN	2021	4	17	22	0	SPO_NO0143A_5_3173
384	NaN	2021	4	17	23	0	SPO_NO0143A_5_3173
385	NaN	2021	4	18	0	0	SPO_NO0143A_5_3173
386	NaN	2021	4	18	1	0	SPO_NO0143A_5_3173
387	NaN	2021	4	18	2	0	SPO_NO0143A_5_3173
388	NaN	2021	4	18	3	0	SPO_NO0143A_5_3173
389	NaN	2021	4	18	4	0	SPO_NO0143A_5_3173
390	NaN	2021	4	18	5	0	SPO_NO0143A_5_3173
391	NaN	2021	4	18	6	0	SPO_NO0143A_5_3173
392	NaN	2021	4	18	7	0	SPO_NO0143A_5_3173
393	NaN	2021	4	18	8	0	SPO_NO0143A_5_3173
394	NaN	2021	4	18	9	0	SPO_NO0143A_5_3173
395	NaN	2021	4	18	10	0	SPO_NO0143A_5_3173
396	NaN	2021	4	18	11	0	SPO_NO0143A_5_3173
397	NaN	2021	4	18	12	0	SPO_NO0143A_5_3173
398	NaN	2021	4	18	13	0	SPO_NO0143A_5_3173
399	NaN	2021	4	18	14	0	SPO_NO0143A_5_3173
400	NaN	2021	4	18	15	0	SPO_NO0143A_5_3173
401	NaN	2021	4	18	16	0	SPO_NO0143A_5_3173
402	NaN	2021	4	18	17	0	SPO_NO0143A_5_3173
403	NaN	2021	4	18	18	0	SPO_NO0143A_5_3173
404	NaN	2021	4	18	19	0	SPO_NO0143A_5_3173
405	NaN	2021	4	18	20	0	SPO_NO0143A_5_3173
406	NaN	2021	4	18	21	0	SPO_NO0143A_5_3173
407	NaN	2021	4	18	22	0	SPO_NO0143A_5_3173
408	NaN	2021	4	18	23	0	SPO_NO0143A_5_3173
409	NaN	2021	4	19	0	0	SPO_NO0143A_5_3173
410	NaN	2021	4	19	1	0	SPO_NO0143A_5_3173
411	NaN	2021	4	19	2	0	SPO_NO0143A_5_3173
412	NaN	2021	4	19	3	0	SPO_NO0143A_5_3173
413	NaN	2021	4	19	4	0	SPO_NO0143A_5_3173
414	NaN	2021	4	19	5	0	SPO_NO0143A_5_3173
415	NaN	2021	4	19	6	0	SPO_NO0143A_5_3173
416	NaN	2021	4	19	7	0	SPO_NO0143A_5_3173
417	NaN	2021	4	19	8	0	SPO_NO0143A_5_3173
418	NaN	2021	4	19	9	0	SPO_NO0143A_5_3173
419	NaN	2021	4	19	10	0	SPO_NO0143A_5_3173
420	NaN	2021	4	19	11	0	SPO_NO0143A_5_3173
421	NaN	2021	4	19	12	0	SPO_NO0143A_5_3173
422	NaN	2021	4	19	13	0	SPO_NO0143A_5_3173
423	NaN	2021	4	19	14	0	SPO_NO0143A_5_3173
424	NaN	2021	4	19	15	0	SPO_NO0143A_5_3173
425	NaN	2021	4	19	16	0	SPO_NO0143A_5_3173
426	NaN	2021	4	19	17	0	SPO_NO0143A_5_3173
427	NaN	2021	4	19	18	0	SPO_NO0143A_5_3173
